YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201703,112682,673239,1,.86,"SSW","ELKINS",38.9087,-79.8569,3854522,7951414
201703,112682,673240,1,0,"N","(EKN)RANDOLPH FLD EL",38.88,-79.85,3852800,7951000
201703,112682,673241,1,14.77,"WSW","PEELTREE",39.0417,-80.4707,392502,8028242
201703,112682,673699,1,2,"S","GLENVILLE",38.9011,-80.83,3854066,8049800
201703,112681,673155,1,.6,"NNW","LANGSVILLE",39.0577,-82.1854,393462,8211124
201703,112681,673155,2,.63,"NNW","LANGSVILLE",39.0582,-82.1849,393492,8211094
201703,112681,673157,1,.43,"WSW","MIDDLEPORT",38.9968,-82.0569,3859808,823414
201703,112681,673159,1,0,"N","CHESAPEAKE",38.43,-82.45,3825800,8227000
201703,112681,673707,1,1.24,"W","BEVERLY",39.5517,-81.6531,3933102,8139186
201703,112681,673707,2,1.11,"SW","BEVERLY",39.5401,-81.6463,3932406,8138778
201703,112681,673707,3,2.43,"S","COALRUN",39.5348,-81.5824,3932088,8134944
201703,112681,673707,4,.29,"ESE","EQUITY",39.5679,-81.5653,3934074,8133918
201703,112681,673707,5,.96,"WSW","COALRUN",39.565,-81.5968,3933900,8135808
201703,112681,673707,6,.75,"NW","BEVERLY",39.5573,-81.6404,3933438,8138424
201703,112681,673709,1,.81,"E","ELK FORK",39.2812,-82.455,3916872,8227300
201703,112681,673709,2,3.71,"SE","HOPE",39.2854,-82.3115,3917124,8218690
201703,112681,673709,3,2.78,"NE","HOPE",39.3571,-82.3115,3921426,8218690
201703,112681,673709,4,1.51,"SSW","MT PLEASANT",39.3603,-82.4824,3921618,8228944
201703,112681,673878,1,1.37,"WSW","NEW STRAITSVILLE",39.5752,-82.255,3934512,8215300
201703,112681,673878,2,.86,"S","HEMLOCK",39.5677,-82.1524,3934062,829144
201703,112681,673878,3,1.13,"NW","MOXAHALA",39.6813,-82.1455,3940878,828730
201703,112681,673878,4,1.22,"NE","CROSSENVILLE",39.6947,-82.3372,3941682,8220232
201703,112681,673878,5,1.07,"WSW","MAXVILLE",39.6149,-82.3489,3936894,8220934
201703,112681,673878,6,1.48,"W","SHAWNEE",39.6024,-82.2476,3936144,8214856
201703,112681,673879,1,1.15,"ENE","CROOKSVILLE",39.7777,-82.0809,3946662,824854
201703,112681,673879,2,.74,"W","CLOVER HILL",39.7798,-82.1839,3946788,8211034
201703,112681,673879,3,1.1,"NW","NEW LEXINGTON",39.7317,-82.2139,3943902,8212834
201703,112681,673879,4,1.97,"SSE","MC LUNEY",39.7024,-82.0907,3942144,825442
201703,112681,673880,1,1.15,"ENE","CROOKSVILLE",39.7777,-82.0809,3946662,824854
201703,112681,673880,2,.74,"W","CLOVER HILL",39.7798,-82.1839,3946788,8211034
201703,112681,673880,3,.46,"ESE","CHALFANTS",39.8674,-82.272,3952044,8216320
201703,112681,673880,4,2.54,"ENE","SEGO",39.8622,-82.1748,3951732,8210488
201703,112681,673880,5,1.9,"NW","SALTILLO",39.8176,-82.1775,3949056,8210650
201703,112681,673880,6,.99,"N","ROSEVILLE",39.8141,-82.0768,3948846,824608
201703,112681,673881,1,1.1,"N","ELK FORK",39.2959,-82.4698,3917754,8228188
201703,112681,673881,2,1.78,"ENE","MC ARTHUR VNTN CO AR",39.3381,-82.4183,3920286,8225098
201703,112681,673881,3,.36,"WNW","NEW PLYMOUTH",39.3811,-82.4067,3922866,8224402
201703,112681,673881,4,1.08,"ENE","NEW PLYMOUTH",39.3835,-82.3803,3923010,8222818
201703,112681,673881,5,2.06,"WSW","HOPE",39.3229,-82.3875,3919374,8223250
201703,112681,673881,6,.88,"ENE","ELK FORK",39.2836,-82.4542,3917016,8227252
201703,112681,673882,1,.71,"N","PRATTSVILLE",39.2402,-82.3817,3914412,8222902
201703,112681,673882,2,1.31,"ESE","ZALESKI",39.2745,-82.3766,3916470,8222596
201705,114653,698448,1,.69,"S","LANTON",36.51,-91.8,3630600,9148000
201705,114653,698449,1,1.49,"NNE","DAWSON",37.27,-92.31,3716200,9218600
201705,114653,698449,2,1.72,"NNE","DAWSON",37.2726,-92.3069,3716356,9218414
201705,114653,698450,1,1.8,"WNW","MAY",36.76,-94.56,3645600,9433600
201705,114653,698450,2,2,"N","MAY",36.7789,-94.532,3646734,9431920
201705,114653,698451,1,.21,"SE","FORKNERS HILL",37.4683,-92.9169,3728098,9255014
201705,114653,698451,2,1.9,"ENE","FORKNERS HILL",37.4843,-92.8904,3729058,9253424
201705,114653,698452,1,3.19,"S","STOTTS CITY",37.0546,-93.9592,373276,9357552
201705,114653,698452,2,1.6,"N","MT VERNON ARPT",37.0931,-93.8995,375586,9353970
201705,114653,698453,1,.81,"NNE","THAYER",36.5307,-91.544,3631842,9132640
201705,114653,698453,2,1.38,"NE","THAYER",36.5358,-91.5347,3632148,9132082
201705,114653,698454,1,.23,"SE","MILLER",37.2173,-93.8474,3713038,9350844
201705,114653,698454,2,.81,"NE","MILLER",37.2267,-93.8378,3713602,9350268
201705,114653,698455,1,2.76,"SE","EMMET",37.2993,-93.6678,3717958,9340068
201705,114653,698455,2,2.6,"ESE","EMMET",37.31,-93.66,3718600,9339600
